datetime,No.,Connection.,P1_Air_FillingTime,P1_Air_HoldingTime,P1_Air_ReleaseTime,P1_BitCountTimes,P1_CountTimes,P1_Oil_End_Time,P1_Oil_Start_Time,P1_PressureHoseOffset,P1_PressureITVOffset,P1_PressureSetting,P1_Start_Heat,P1_Start_Oil,P1_Start_Pressure,P1_Temp1Offset,P1_Temp2Offset,P1_Temp3Offset,P1_TempLimitHIGH,P1_TempLimitLOW,P1_TemperatureSetting,P2_Air_FillingTime,P2_Air_HoldingTime,P2_Air_ReleaseTime,P2_BitCountTimes,P2_CountTimes,P2_Oil_End_Time,P2_Oil_Start_Time,P2_PressureHoseOffset,P2_PressureITVOffset,P2_PressureSetting,P2_Start_Heat,P2_Start_Oil,P2_Start_Pressure,P2_Temp1Offset,P2_Temp2Offset,P2_Temp3Offset,P2_TempLimitHIGH,P2_TempLimitLOW,P2_TemperatureSetting,P3_Air_FillingTime,P3_Air_HoldingTime,P3_Air_ReleaseTime,P3_BitCountTimes,P3_CountTimes,P3_Oil_End_Time,P3_Oil_Start_Time,P3_PressureHoseOffset,P3_PressureITVOffset,P3_PressureSetting,P3_Start_Heat,P3_Start_Oil,P3_Start_Pressure,P3_Temp1Offset,P3_Temp2Offset,P3_Temp3Offset,P3_TempLimitHIGH,P3_TempLimitLOW,P3_TemperatureSetting,START,STOP,T0_Start_Heat,T0_Stop_Heat,T0_TempLimitHIGH,T0_TempLimitLOW,T0_TempOffset,T0_TemperatureSetting,Bit_Alarm,P1_Current_Air_FillingTime,P1_Current_Air_HoldingTime,P1_Current_Air_ReleaseTime,P1_Current_Oil_End_Time,P1_Current_Oil_Start_Time,P1_Current_PressureHose,P1_Current_PressureITV,P1_Current_Temp1,P1_Current_Temp2,P1_Current_Temp3,P1_Number_Test_Times,P2_Current_Air_FillingTime,P2_Current_Air_HoldingTime,P2_Current_Air_ReleaseTime,P2_Current_Oil_End_Time,P2_Current_Oil_Start_Time,P2_Current_PressureHose,P2_Current_PressureITV,P2_Current_Temp1,P2_Current_Temp2,P2_Current_Temp3,P2_Number_Test_Times,P3_Current_Air_FillingTime,P3_Current_Air_HoldingTime,P3_Current_Air_ReleaseTime,P3_Current_Oil_End_Time,P3_Current_Oil_Start_Time,P3_Current_PressureHose,P3_Current_PressureITV,P3_Current_Temp1,P3_Current_Temp2,P3_Current_Temp3,P3_Number_Test_Times,T0_Current_Temp,Alarm_Info
17/08/26 8:06,11,TRUE,1000,0,1000,FALSE,10,0,0,0,0,2,TRUE,FALSE,TRUE,0,0,0,240,180,185,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,240,180,0,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,240,180,0,185,FALSE,682,0,0,0,0,1.267722845,2.008463621,188,184.5,176.8000031,163425,0,0,0,0,0,0.020616319,0.001627604,178,193.8999939,182.1999969,0,0,0,0,0,0,0,0.000325521,0,0,0,0,184.8000031,
17/08/26 8:06,12,TRUE,1000,0,1000,FALSE,10,0,0,0,0,2,TRUE,FALSE,TRUE,0,0,0,240,180,185,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,240,180,0,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,240,180,0,185,FALSE,0,0,229,0,0,1.933232069,2.007487059,188,184.5,176.8999939,163425,0,0,0,0,0,0.020616319,0.001627604,178,193.8999939,182.1999969,0,0,0,0,0,0,0,0.000651042,0,0,0,0,184.6999969,
17/08/26 8:06,13,TRUE,1000,0,1000,FALSE,10,0,0,0,0,2,TRUE,FALSE,TRUE,0,0,0,240,180,185,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,240,180,0,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,240,180,0,185,FALSE,0,0,229,0,0,1.933232069,2.007487059,188,184.5,176.8999939,163425,0,0,0,0,0,0.020616319,0.001627604,178,193.8999939,182.1999969,0,0,0,0,0,0,0,0.000651042,0,0,0,0,184.6999969,
17/08/26 8:06,14,TRUE,1000,0,1000,FALSE,10,0,0,0,0,2,TRUE,FALSE,TRUE,0,0,0,240,180,185,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,240,180,0,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,240,180,0,185,FALSE,0,0,631,0,0,0.608723938,2.010742188,188,184.5,176.8999939,163426,0,0,0,0,0,0.020978007,0.001627604,178,193.8999939,182.1999969,0,0,0,0,0,0,0,0.000651042,0,0,0,0,184.8000031,
17/08/26 8:06,15,TRUE,1000,0,1000,FALSE,10,0,0,0,0,2,TRUE,FALSE,TRUE,0,0,0,240,180,185,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,240,180,0,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,240,180,0,185,FALSE,617,0,0,0,0,1.257233739,2.009439945,188,184.5,176.8999939,163427,0,0,0,0,0,0.020254629,0.001627604,178,193.8999939,182.1999969,0,0,0,0,0,0,0,0.000651042,0,0,0,0,184.8000031,
17/08/26 8:06,16,TRUE,1000,0,1000,FALSE,10,0,0,0,0,2,TRUE,FALSE,TRUE,0,0,0,240,180,185,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,240,180,0,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,240,180,0,185,FALSE,0,0,595,0,0,0.967881978,2.009439945,188,184.5,177,163427,0,0,0,0,0,0.020616319,0.001627604,178,193.8999939,182.1999969,0,0,0,0,0,0,0,0.000325521,0,0,0,0,184.8000031,
17/08/26 8:06,17,TRUE,1000,0,1000,FALSE,10,0,0,0,0,2,TRUE,FALSE,TRUE,0,0,0,240,180,185,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,240,180,0,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,240,180,0,185,FALSE,686,0,0,0,0,1.253616929,2.004882813,188,184.5,177,163428,0,0,0,0,0,0.020616319,0.001627604,178,193.8999939,182.1999969,0,0,0,0,0,0,0,0,0,0,0,0,184.8000031,
17/08/26 8:06,18,TRUE,1000,0,1000,FALSE,10,0,0,0,0,2,TRUE,FALSE,TRUE,0,0,0,240,180,185,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,240,180,0,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,240,180,0,185,FALSE,0,0,674,0,0,0.638020873,2.010091066,188,184.5,177,163428,0,0,0,0,0,0.020616319,0.001953125,178,193.8999939,182.1999969,0,0,0,0,0,0,0,0.001302083,0,0,0,0,184.8000031,
17/08/26 8:06,19,TRUE,1000,0,1000,FALSE,10,0,0,0,0,2,TRUE,FALSE,TRUE,0,0,0,240,180,185,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,240,180,0,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,240,180,0,185,FALSE,654,0,0,0,0,1.239872694,2.010091066,188,184.5,177.1000061,163429,0,0,0,0,0,0.020616319,0.001953125,178,193.8999939,182.1999969,0,0,0,0,0,0,0,0.001302083,0,0,0,0,184.8000031,
17/08/26 8:06,20,TRUE,1000,0,1000,FALSE,10,0,0,0,0,2,TRUE,FALSE,TRUE,0,0,0,240,180,185,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,240,180,0,1000,1000,1000,TRUE,9999999,2000,1000,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,240,180,0,185,FALSE,0,0,640,0,0,0.644169509,2.010742188,188,184.5,177.1000061,163429,0,0,0,0,0,0.020616319,0.001627604,178,193.8999939,182.1999969,0,0,0,0,0,0,0,0.001627604,0,0,0,0,184.8000031,
